record_set,benchmark,memory_system,scope,model_label,scale,budget,n,unbudgeted_success_count,pass_count,wrong_within_budget_count,budget_exhausted_count,unbudgeted_success,pass_at_b,p_wrong,p_exh,mean_calls,median_calls,p90_calls
additional_interfaces,LongMemEval,MemOS-Tree,additional_interface_coverage,Qwen 235B,0,6,500,376,376,124,0,0.752,0.752,0.248,0.0,1.544,1.0,3.0
additional_interfaces,LongMemEval,MemOS-Tree,additional_interface_coverage,Qwen 235B,100,1,500,231,146,66,288,0.462,0.292,0.132,0.576,3.418,2.5,6.0
additional_interfaces,LongMemEval,MemOS-Tree,additional_interface_coverage,Qwen 235B,100,2,500,231,166,84,250,0.462,0.332,0.168,0.5,3.418,2.5,6.0
additional_interfaces,LongMemEval,MemOS-Tree,additional_interface_coverage,Qwen 235B,100,3,500,231,176,87,237,0.462,0.352,0.174,0.474,3.418,2.5,6.0
additional_interfaces,LongMemEval,MemOS-Tree,additional_interface_coverage,Qwen 235B,100,4,500,231,186,94,220,0.462,0.372,0.188,0.44,3.418,2.5,6.0
additional_interfaces,LongMemEval,MemOS-Tree,additional_interface_coverage,Qwen 235B,100,5,500,231,189,97,214,0.462,0.378,0.194,0.428,3.418,2.5,6.0
additional_interfaces,LongMemEval,MemOS-Tree,additional_interface_coverage,Qwen 235B,100,6,500,231,231,269,0,0.462,0.462,0.538,0.0,3.418,2.5,6.0
additional_interfaces,LongMemEval,MemOS-Tree,additional_interface_coverage,Qwen 235B,200,1,500,208,97,62,341,0.416,0.194,0.124,0.682,3.736,4.0,6.0
additional_interfaces,LongMemEval,MemOS-Tree,additional_interface_coverage,Qwen 235B,200,2,500,208,133,84,283,0.416,0.266,0.168,0.566,3.736,4.0,6.0
additional_interfaces,LongMemEval,MemOS-Tree,additional_interface_coverage,Qwen 235B,200,3,500,208,146,89,265,0.416,0.292,0.178,0.53,3.736,4.0,6.0
additional_interfaces,LongMemEval,MemOS-Tree,additional_interface_coverage,Qwen 235B,200,4,500,208,152,103,245,0.416,0.304,0.206,0.49,3.736,4.0,6.0
additional_interfaces,LongMemEval,MemOS-Tree,additional_interface_coverage,Qwen 235B,200,5,500,208,159,107,234,0.416,0.318,0.214,0.468,3.736,4.0,6.0
additional_interfaces,LongMemEval,MemOS-Tree,additional_interface_coverage,Qwen 235B,200,6,500,208,208,292,0,0.416,0.416,0.584,0.0,3.736,4.0,6.0
additional_interfaces,LongMemEval,MemOS-Tree,additional_interface_coverage,Qwen 235B,300,1,500,195,126,54,320,0.39,0.252,0.108,0.64,3.804,6.0,6.0
additional_interfaces,LongMemEval,MemOS-Tree,additional_interface_coverage,Qwen 235B,300,2,500,195,140,70,290,0.39,0.28,0.14,0.58,3.804,6.0,6.0
additional_interfaces,LongMemEval,MemOS-Tree,additional_interface_coverage,Qwen 235B,300,3,500,195,151,75,274,0.39,0.302,0.15,0.548,3.804,6.0,6.0
additional_interfaces,LongMemEval,MemOS-Tree,additional_interface_coverage,Qwen 235B,300,4,500,195,153,84,263,0.39,0.306,0.168,0.526,3.804,6.0,6.0
